Lake,dist.date,recov.date,Year,peak.z,peak.date,Pigment,dist_length,log_peakz,log_length,Trophic_Status
Sammamish,98,108,2019,2.852215413,100,Phycocyanin,10,0.455182322,1,Mesotrophic
Sammamish,37,47,2024,3.335381181,39,Phycocyanin,10,0.523145474,1,Mesotrophic
Sammamish,80,91,2024,3.408385463,85,Chlorophyll-a,11,0.532548704,1.041392685,Mesotrophic
Sammamish,213,225,2022,2.698832551,215,Phycocyanin,12,0.43117594,1.079181246,Mesotrophic
Sammamish,140,153,2013,7.801884813,145,Chlorophyll-a,13,0.892199534,1.113943352,Mesotrophic
Sammamish,245,260,2011,6.314810958,253,Chlorophyll-a,15,0.800360354,1.176091259,Mesotrophic
Sammamish,159,175,2011,4.740960206,162,Chlorophyll-a,16,0.67586631,1.204119983,Mesotrophic
Sammamish,151,167,2012,4.283245901,157,Chlorophyll-a,16,0.631773008,1.204119983,Mesotrophic
Sammamish,306,323,2011,4.81108796,315,Chlorophyll-a,17,0.682243297,1.230448921,Mesotrophic
Sammamish,82,99,2022,15.81507415,90,Chlorophyll-a,17,1.199071232,1.230448921,Mesotrophic
Sammamish,81,101,2024,2.999786892,86,Phycocyanin,20,0.477090403,1.301029996,Mesotrophic
Sammamish,271,292,2014,5.071228209,279,Chlorophyll-a,21,0.705113155,1.322219295,Mesotrophic
Sammamish,80,102,2022,7.720962521,90,Phycocyanin,22,0.887671444,1.342422681,Mesotrophic
Sammamish,84,111,2019,7.892500271,100,Chlorophyll-a,27,0.897214605,1.431363764,Mesotrophic
Sammamish,48,75,2023,4.405689805,68,Phycocyanin,27,0.644013916,1.431363764,Mesotrophic
Sammamish,75,107,2021,5.256002974,84,Chlorophyll-a,32,0.720655602,1.505149978,Mesotrophic
Sammamish,79,112,2013,11.59633636,98,Chlorophyll-a,33,1.064320804,1.51851394,Mesotrophic
Sammamish,103,137,2014,7.241008806,116,Chlorophyll-a,34,0.859799076,1.531478917,Mesotrophic
Sammamish,52,90,2019,6.06074383,81,Phycocyanin,38,0.782525928,1.579783597,Mesotrophic
Sammamish,70,109,2018,8.175766371,83,Chlorophyll-a,39,0.912528473,1.591064607,Mesotrophic
Sammamish,138,178,2015,18.52893417,157,Chlorophyll-a,40,1.267850438,1.602059991,Mesotrophic
Sammamish,80,120,2020,5.045244197,87,Chlorophyll-a,40,0.702882192,1.602059991,Mesotrophic
Sammamish,123,164,2002,6.530275867,137,Chlorophyll-a,41,0.814931528,1.612783857,Mesotrophic
