Lake,Year,Manual_Chl,DOYtrunc
R,2013,5.092821675,215
R,2013,3.504065379,216
R,2013,9.541844874,217
R,2013,6.773442486,218
R,2013,8.98973856,219
R,2013,5.423396048,220
R,2013,4.866348929,221
R,2013,3.016649149,222
R,2013,5.600460737,223
R,2013,3.382900736,224
R,2013,3.159645259,225
R,2013,2.541814739,226
R,2013,2.962587543,227
R,2013,4.309646517,228
R,2013,5.700885486,229
R,2013,3.341995461,230
R,2013,5.805906333,231
R,2013,5.106092909,232
R,2013,4.146312672,233
R,2013,2.626670205,234
R,2013,1.953916309,235
R,2013,1.630925498,236
R,2013,2.449375711,237
R,2013,2.688257923,238
R,2013,4.541462227,239
R,2013,4.09156165,240
R,2013,4.064617024,241
R,2013,6.375937431,242
R,2013,4.493030841,243
R,2013,4.405934777,244
R,2014,2.508177044,146
R,2014,2.864949178,147
R,2014,2.983873223,148
R,2014,0.771730873,149
R,2014,1.478105228,150
R,2014,1.285241451,151
R,2014,1.32048778,152
R,2014,1.935014855,153
R,2014,2.327291849,154
R,2014,2.710434097,155
R,2014,8.006862929,156
R,2014,4.892000903,157
R,2014,4.523767248,158
R,2014,5.170696816,159
R,2014,6.811503926,160
R,2014,2.576342928,161
R,2014,6.688874277,162
R,2014,6.277466024,163
R,2014,5.10141192,164
R,2014,7.44141314,165
R,2014,8.726021003,166
R,2014,8.835323174,167
R,2014,7.941889792,168
R,2014,6.700291454,169
R,2014,5.461802195,170
R,2014,5.373126223,171
R,2014,5.493946158,172
R,2014,4.871835521,173
R,2014,5.860800983,174
R,2014,3.621668045,175
R,2014,4.42733536,176
R,2014,4.32685316,177
R,2014,13.04071092,178
R,2014,4.37054482,179
R,2014,4.203792627,180
R,2014,3.068498884,181
R,2014,2.59866273,182
R,2014,2.662347418,183
R,2014,2.49464728,184
R,2014,2.514898838,185
R,2014,4.562374474,186
R,2014,7.007297715,187
R,2014,3.980853131,188
R,2014,7.312363743,189
R,2014,6.839425223,190
R,2014,7.102954012,191
R,2014,9.273231651,192
R,2014,5.557717023,193
R,2014,3.609172403,194
R,2014,9.270215462,195
R,2014,5.975933246,196
R,2014,4.13760881,197
R,2014,2.48180693,198
R,2014,4.80142904,199
R,2014,4.168373944,200
R,2014,3.612705654,201
R,2014,2.681909562,202
R,2014,3.01618954,203
R,2014,3.536008263,204
R,2014,3.045231136,205
R,2014,4.648896026,206
R,2014,3.977578411,207
R,2014,5.792462746,208
R,2014,5.719298605,209
R,2014,5.594083651,210
R,2014,5.678019897,211
R,2014,7.484114193,212
R,2014,8.708428616,213
R,2014,6.932496215,214
R,2014,7.04840407,215
R,2014,8.154570039,216
R,2014,6.050820924,217
R,2014,7.777373993,218
R,2014,10.80218122,219
R,2014,12.66653106,220
R,2014,7.075808306,221
R,2014,5.092879126,222
R,2014,11.13106049,223
R,2014,10.30003047,224
R,2014,10.47453686,225
R,2014,8.668873444,226
R,2014,7.879665907,227
R,2014,6.340978358,228
R,2014,5.360458227,229
R,2014,5.675693122,230
R,2014,8.136987378,231
R,2014,5.07314032,232
R,2014,8.714805702,233
R,2014,13.34181281,234
R,2014,5.428796464,235
R,2014,7.134494737,236
R,2014,6.942665082,237
R,2014,7.427065122,238
R,2014,7.010486259,239
R,2014,7.920255201,240
R,2014,6.706454353,241
R,2019,2.922053034,133
R,2019,2.410240274,134
R,2019,2.232559002,135
R,2019,2.205212851,136
R,2019,2.354173794,137
R,2019,3.68582141,138
R,2019,5.650278199,139
R,2019,3.792869911,140
R,2019,3.132302335,141
R,2019,3.504155021,142
R,2019,3.545998754,143
R,2019,4.233500228,144
R,2019,2.47997983,145
R,2019,2.007399864,146
R,2019,2.436899336,147
R,2019,3.568466572,148
R,2019,2.408659969,149
R,2019,1.835435175,150
R,2019,1.862698875,151
R,2019,1.88722796,152
R,2019,2.089575735,153
R,2019,2.43408227,154
R,2019,1.98857362,155
R,2019,4.552103499,156
R,2019,3.789984136,157
R,2019,3.177581515,158
R,2019,3.050676136,159
R,2019,2.488774572,160
R,2019,4.37545286,161
R,2019,4.252532599,162
R,2019,4.904442851,163
R,2019,4.071484589,164
R,2019,4.918390762,165
R,2019,5.262622461,166
R,2019,8.257850497,167
R,2019,4.662106483,168
R,2019,6.979246167,169
R,2019,5.391108145,170
R,2019,7.391568408,171
R,2019,7.694643463,172
R,2019,9.643640744,173
R,2019,7.765894615,174
R,2019,6.470113056,175
R,2019,4.430763542,176
R,2019,5.320612791,177
R,2019,6.061844641,178
R,2019,7.433893104,179
R,2019,5.431783827,180
R,2019,5.722697402,181
R,2019,7.383666882,182
R,2019,4.060353744,183
R,2019,2.98217334,184
R,2019,3.287309663,185
R,2019,3.718183313,186
R,2019,2.700947723,187
R,2019,2.974615359,188
R,2019,2.9395051,189
R,2019,3.104406513,190
R,2019,3.508895936,191
R,2019,3.359247904,192
R,2019,3.724023571,193
R,2019,4.395103612,194
R,2019,4.366795536,195
R,2019,5.074566141,196
R,2019,6.451011975,197
R,2019,7.651837805,198
R,2019,10.98806822,199
R,2019,11.16787947,200
R,2019,15.11094708,201
R,2019,15.97509919,202
R,2019,16.608939,203
R,2019,18.51327548,204
R,2019,22.94053487,205
R,2019,32.84410146,206
R,2019,37.23824315,207
R,2019,41.39760645,208
R,2019,49.03377862,209
R,2019,43.77335485,210
R,2019,33.78335243,211
R,2019,35.26080038,212
R,2019,30.19207449,213
R,2019,28.67649309,214
R,2019,25.77223567,215
R,2019,23.80997757,216
R,2019,23.35629256,217
R,2019,27.96563059,218
R,2019,27.45374912,219
R,2019,30.20870205,220
R,2019,28.95057298,221
R,2019,28.44844818,222
R,2019,14.78780902,223
R,2019,9.015366361,224
R,2019,5.210128844,225
R,2019,2.731248357,226
R,2019,4.404997697,227
R,2019,7.273045518,228
R,2019,7.928803469,229
R,2019,4.851399563,230
R,2019,3.989102592,231
R,2019,2.506364056,232
R,2019,2.438204805,233
R,2019,4.315332554,234
R,2019,4.363085254,235
R,2019,5.979874897,236
R,2019,7.205435939,237
R,2019,9.905146901,238
R,2019,13.76329029,239
R,2019,16.97048535,240
R,2019,13.56217927,241
R,2019,16.91345694,242
R,2019,17.90444572,243
R,2019,15.23359251,244
R,2019,15.85746952,245
R,2019,14.42907974,246
R,2019,15.08380706,247
R,2019,14.18055957,248
L,2023,2.951421284,141
L ,2023,2.02070518,150
T,2023,3.451578247,150
L,2023,1.85981741,157
T,2023,2.592343895,157
L,2023,2.356314162,164
T,2023,5.095873866,164
L,2023,2.252267304,171
T,2023,3.167104555,171
L,2023,2.190743476,178
T,2023,1.592245277,178
L,2023,2.726156875,186
T,2023,6.137418983,186
L,2023,3.367178105,192
T,2023,5.005929582,192
L,2023,3.244130449,199
T,2023,5.176667624,199
L,2023,2.725295649,206
T,2023,4.640931265,206
L,2023,2.950721538,213
T,2023,5.033273506,213
L,2023,2.0753392,219
T,2023,3.683248024,219
L,2022,2.544779104,151
T,2022,3.552341681,153
L,2022,4.50008494,158
T,2022,4.214157929,159
L,2022,3.594640075,165
T,2022,7.065985969,166
L,2022,3.513981243,172
T,2022,5.513101948,173
L,2022,2.534555994,178
T,2022,5.104318904,179
L,2022,3.899849217,186
T,2022,7.251988882,187
L,2022,5.722022083,193
T,2022,5.136497893,194
L,2022,4.536399967,200
T,2022,6.219199562,201
L,2022,5.77197211,207
T,2022,6.656271725,208
L,2022,3.931752614,214
T,2022,4.445487163,215
T,2022,5.615910794,219
L,2022,4.81364295,220
L,2021,1.87998445,145
T,2021,8.929979966,146
L,2021,1.289721724,151
T,2021,4.2480687,153
L,2021,1.823932996,159
T,2021,4.050381463,160
L,2021,2.412903883,166
T,2021,3.999963862,167
L,2021,2.89472391,173
T,2021,5.828059449,174
L,2021,4.765629604,180
T,2021,5.981250013,181
L,2021,2.813194521,187
T,2021,5.053637911,188
L,2021,2.564228457,194
T,2021,3.733737394,195
L,2021,4.126097577,201
T,2021,3.953637083,202
L,2021,2.877068778,208
T,2021,5.138361012,209
L,2021,3.525141295,215
T,2021,8.128645117,216
L,2021,3.807408096,222
T,2021,9.981142106,223
L,2021,2.710062715,228
T,2021,11.80712051,228
L,2019,NA,131
L,2019,NA,132
L,2019,2.434563232,133
L,2019,2.634918449,134
L,2019,1.968716741,135
L,2019,1.92865944,136
L,2019,1.808693662,137
L,2019,2.14344353,138
L,2019,2.936825452,139
L,2019,2.092049256,140
L,2019,1.869638476,141
L,2019,2.209541513,142
L,2019,1.99874254,143
L,2019,2.224520058,144
L,2019,1.596864056,145
L,2019,2.409759312,146
L,2019,2.256950669,147
L,2019,2.639040984,148
L,2019,1.790142253,149
L,2019,1.601185847,150
L,2019,1.839681386,151
L,2019,1.844834555,152
L,2019,2.100019491,153
L,2019,1.67752833,154
L,2019,1.941576717,155
L,2019,2.806141082,156
L,2019,1.805601761,157
L,2019,1.872867795,158
L,2019,1.595489877,159
L,2019,1.400837501,160
L,2019,1.816320352,161
L,2019,2.253652641,162
L,2019,3.298371799,163
L,2019,1.842979414,164
L,2019,2.782573922,165
L,2019,1.717929176,166
L,2019,1.713806641,167
L,2019,1.894442397,168
L,2019,2.894844301,169
L,2019,1.707004458,170
